Obec trvaleho pobytu;Miesto pracoviska (obec);Periodicita dochadzky;POCET
513997;517402;2;13
513946;514004;1;5
513920;514373;1;44
513954;526355;1;1
513997;518158;1;11
513962;529346;1;1
513962;542652;1;1
513962;529320;1;1
513938;513989;1;1
513881;508853;1;1
513881;508110;2;1
513997;581640;2;3
514004;000000;1;44
514004;505722;2;1
513997;508381;2;1
514098;513903;1;10
514098;514268;2;1
514110;514284;1;2
514080;529346;1;2
514128;513997;1;10
514080;514411;1;2
514225;513997;1;11
514128;514331;2;1
514128;514373;1;3
514128;514331;1;7
514136;508063;1;1
514128;507806;1;1
514136;514144;1;1
514225;528595;2;2
514233;513881;1;111
514233;514233;1;137
514217;514454;2;2
514268;000000;1;50
514233;513881;2;16
557706;529346;1;1
514209;513920;2;2
514225;524140;1;1
514241;505315;2;1
514187;505820;2;1
514250;504645;1;1
514063;513911;1;10
514128;529419;2;1
557714;514357;1;9
514004;513997;1;4
514021;508438;2;1
514063;513997;1;3
514063;514071;1;1
514012;514110;1;1
513997;505382;2;1
514411;513881;1;90
514292;513946;1;23
514292;505722;1;6
514411;513920;1;9
514314;514225;1;16
514331;514314;1;3
514322;514268;2;2
514322;510998;1;1
514268;529346;2;1
514331;514284;1;1
513610;512036;1;2
513610;517402;1;60
513610;513334;1;29
513610;517461;1;3
512851;000000;1;168
512958;513326;1;133
512851;529371;2;3
513610;509132;1;2
512851;560103;2;1
514420;529346;2;3
514454;513903;1;3
514357;999999;1;8
514373;514373;1;170
514454;000000;1;15
514454;529320;1;2
514357;513881;2;13
514373;517402;2;2
514454;505315;2;2
514357;513903;1;5
514381;502863;1;1
514357;528595;2;2
514420;517381;1;2
514373;529346;1;1
514390;514110;1;2
514438;529320;1;1
514373;529346;2;1
557501;000000;2;4
513342;513610;1;293
513407;512842;2;1
512958;500348;1;5
512958;557471;1;1
513326;505820;2;1
557501;513440;1;2
513326;529346;2;4
512940;506559;1;1
557439;505820;2;2
505820;505854;1;7
505820;504025;1;2
505820;508021;1;12
505820;529338;1;3
505820;513440;2;8
505820;506583;2;7
505820;512931;2;1
505820;505978;1;4
505820;504203;1;5
513776;512851;1;42
513377;513334;1;8
513814;513300;1;2
513326;513253;1;1
513342;508217;2;1
513776;999999;1;4
513334;507903;2;1
513342;524140;1;1
505820;545741;2;2
513407;504769;2;4
513407;512036;2;1
505820;522376;2;1
505960;506745;1;1
505820;529435;2;28
505838;999999;2;1
505820;518069;2;1
505820;504017;1;1
506010;506281;1;37
505943;999999;1;7
545686;528595;2;3
506028;505978;1;2
505854;529419;1;1
505943;999999;2;4
506028;529320;1;1
505943;529371;2;2
505943;528595;1;2
506036;506338;2;1
506028;513016;1;2
505943;506567;1;2
505943;508438;1;2
505820;506605;2;1
506231;507172;1;1
506087;506095;1;1
506290;505820;1;150
506354;506281;1;5
506044;000000;2;2
506281;506231;1;2
506087;506338;2;1
506231;506281;1;1
506273;505935;1;1
506605;506087;1;2
506591;505978;2;1
506559;513440;2;4
545741;506338;1;13
506591;504971;2;1
506532;505960;2;5
545741;506087;1;3
506532;542822;1;2
506567;506605;1;1
506591;504467;2;1
501026;501085;1;11
545741;507440;1;1
506613;529346;2;1
556475;528595;2;3
506648;506591;1;1
506613;506273;1;5
556475;506613;2;1
545741;517461;1;1
506532;517755;1;1
506354;517402;2;1
506290;529401;2;1
546682;505943;1;7
506508;509264;1;1
546682;506613;1;1
506290;506231;2;1
506371;506125;1;1
506508;599824;1;1
506281;513253;1;1
506281;506583;2;1
506290;514241;1;1
501026;529494;1;3
501026;517488;1;1
501034;501026;2;3
501034;503282;1;1
501093;501433;1;7
501140;529460;2;5
501077;501395;2;1
501077;501077;2;4
501093;502022;2;1
501069;501042;1;1
501123;525618;2;1
501166;508667;1;1
501166;529346;2;1
501140;503665;2;1
501158;501328;1;3
501263;999999;1;5
501301;999999;2;11
501310;501336;1;1
501255;501140;1;3
501280;501280;2;30
501280;529346;1;4
501204;501760;2;2
501239;501123;1;1
501221;529338;1;1
501280;529371;2;1
501212;502031;2;1
501344;999999;1;12
501344;501026;2;13
501328;501140;2;5
501301;501425;2;3
501115;501239;1;4
501328;528595;1;1
501328;502031;1;1
501182;999999;2;7
501204;529389;2;2
501204;500968;1;1
501174;529443;1;1
501182;501280;1;1
501115;528595;1;3
501379;504025;2;3
502031;502596;1;12
501352;501395;1;2
501361;525260;2;1
501361;501093;2;1
501379;501191;1;2
555827;999999;1;3
501417;501433;1;6
501425;501158;2;1
501115;501280;1;2
501417;529354;1;1
501387;501522;1;1
501425;528595;1;1
501115;529346;1;1
502031;512648;2;1
502031;501140;2;2
502031;529354;1;6
502031;516830;1;5
502031;508071;2;1
502031;500631;1;1
502031;507814;2;1
502031;506338;2;1
502031;507946;1;1
502154;502189;1;1
502197;502863;2;2
502057;529346;1;1
502154;502031;2;8
502201;502863;1;3
502154;528595;2;4
502073;502073;2;1
580937;580937;1;1
502111;529460;2;2
502162;529397;1;1
502049;502049;2;1
502481;502936;1;20
502481;999999;2;4
502570;502979;1;8
502588;502588;2;10
502413;500011;1;6
502464;502910;1;7
581135;581135;1;27
502588;502057;1;5
502472;000000;1;2
502502;500011;1;1
502588;580937;1;1
502421;500011;2;1
502570;999999;1;2
502588;503011;1;5
502456;502251;1;3
502537;502987;1;13
502448;502031;1;2
502481;502391;1;1
502413;518158;1;1
502413;502847;1;1
502669;502979;1;2
502600;529346;1;2
502626;501905;2;1
502669;502669;2;5
502782;502740;1;16
502693;517402;2;1
502626;529435;2;1
502693;581160;2;1
502677;529320;2;2
502600;508021;2;1
502707;529338;2;1
502600;529320;2;1
502600;529320;1;1
502642;501395;2;1
502367;508438;1;6
502391;502391;2;4
502294;502031;1;20
502294;502294;2;1
502341;500011;2;1
502286;518158;1;2
502286;581895;1;1
502286;502863;1;1
502332;502766;1;3
581895;502626;2;1
502260;502171;2;2
502260;529460;2;1
556777;556777;1;1
502251;500933;1;1
502766;502031;1;187
502766;502413;1;33
502723;502782;2;1
502723;502375;1;2
502863;000000;2;15
502723;501026;1;1
502782;501433;1;2
502987;502677;2;3
502987;502600;1;1
502928;502782;2;18
502987;502227;1;11
502910;529346;2;1
502928;502928;2;1
502928;529320;1;1
581160;508438;2;2
502936;502324;1;1
502936;518158;1;1
502928;522376;1;1
502995;502863;1;34
500011;529389;1;26
502995;528595;1;1
500011;502413;1;83
500011;503011;2;10
500011;500534;1;2
502987;502651;1;1
502871;502871;1;15
502863;529320;1;7
502812;502936;1;4
502821;999999;1;8
502812;500160;1;4
502863;500933;1;1
502821;508438;2;1
502871;502367;1;1
502812;507156;2;1
502863;502812;2;1
502863;501778;2;1
502804;502979;2;1
502821;529362;1;1
500011;500992;1;21
500011;512842;2;1
500011;555754;1;1
500011;529389;2;10
500011;523381;2;3
500011;500356;2;5
500011;504769;1;1
500011;556157;1;1
500011;505234;2;2
500011;500810;1;3
500020;529371;1;4
500020;503959;1;1
500046;500046;2;8
500011;518409;1;1
500135;500411;2;1
500071;503011;1;9
500160;500011;2;2
500194;556696;1;3
500372;500011;1;297
581623;500682;1;2
582387;580899;2;1
500101;529311;1;1
500135;556696;2;2
500101;503975;2;1
500011;504815;2;1
500411;500411;1;91
500381;528595;1;3
558320;999999;1;1
500381;999999;2;4
500399;506745;1;1
500488;500020;1;11
500488;500704;1;6
555959;555959;1;4
500488;580899;1;4
500402;500933;2;3
558320;580899;2;1
500381;529460;1;1
500411;999999;2;3
500402;529443;2;2
558320;529389;2;1
500674;000000;1;11
500704;507253;2;8
500712;500011;1;66
500712;528595;2;3
500666;500933;2;2
500704;000000;1;13
500712;000000;1;14
500640;999999;2;2
500682;500194;1;5
500666;505820;2;1
500577;581691;2;2
556696;502286;1;1
500631;000000;2;1
555860;500933;1;28
500933;555789;2;1
555860;555851;1;6
555991;529320;1;3
500917;000000;2;7
500895;500917;1;1
500518;500518;2;1
500887;503665;1;1
500518;529311;1;1
500887;545635;1;1
500569;502413;2;1
545635;000000;2;14
500453;000000;1;30
500488;529397;2;1
556785;500755;2;1
556785;500739;1;1
500453;500887;1;31
580899;508217;1;1
580899;507253;2;5
500470;529320;1;2
556785;502863;2;1
500488;529311;1;2
500453;502031;1;1
581097;580899;2;1
580899;500933;2;2
581097;529320;1;1
500933;556785;1;1
500941;543063;1;6
500933;502758;1;1
500917;529320;2;1
500941;505820;1;2
503011;529311;1;17
503011;503215;2;1
503011;529338;1;5
503011;501280;2;2
503011;501239;1;4
503011;515850;1;1
503011;500071;2;1
500950;500011;2;30
503011;500577;2;1
503011;501727;1;1
500950;500488;1;1
500941;500372;1;1
500950;529354;2;1
500941;527106;2;2
500992;529397;2;1
500950;529320;2;1
503045;503665;1;6
503011;506001;1;1
503011;501158;1;1
503177;529354;2;3
503126;000000;1;13
503151;501026;2;3
503134;516643;1;1
503177;517402;1;1
503177;503029;1;1
503151;529354;1;1
503258;502324;2;2
503266;503266;2;11
503266;503011;2;14
503240;529362;1;1
503321;503321;1;77
503321;500011;1;87
503339;503584;2;19
503266;000000;1;1
503193;503045;2;1
503215;529419;2;1
503193;503045;1;1
503207;503061;1;1
503177;504025;1;1
503070;503177;1;17
503100;503100;1;29
503070;503169;1;16
503070;501026;2;2
503061;503061;1;34
503029;503614;1;3
503100;501026;1;3
503061;503185;1;1
503045;512842;2;1
503088;503011;1;6
503037;503525;2;1
503452;503452;1;470
503371;500968;2;6
503436;528595;1;3
503436;503436;1;101
503282;529427;1;2
503282;503321;2;1
503363;529346;1;6
503347;503231;2;1
503398;503321;1;3
503398;529320;1;3
503282;509540;2;1
503371;528595;1;2
503321;503614;1;1
503452;529397;1;5
503568;503568;2;34
503533;529320;1;2
503495;503151;1;1
503584;529362;2;2
503584;529419;1;1
503584;517402;1;1
503479;000000;2;12
503436;501026;2;3
503452;503649;2;2
503479;503053;1;2
503479;529371;1;1
503631;503631;1;120
503606;529371;1;4
503592;529338;1;2
503631;529460;2;8
556050;500933;1;40
503649;529371;1;1
504025;508209;2;2
504025;500241;1;3
556025;503363;1;2
504025;503932;2;2
504025;555878;2;2
503649;529354;2;1
503711;504009;2;3
504025;503177;1;1
503720;999999;1;1
503380;503011;2;28
503380;508179;1;1
503614;529362;2;6
503614;503509;1;6
503380;500968;1;1
503711;000000;1;7
503711;504165;1;3
503711;501026;2;1
500241;503673;2;2
555878;508438;1;1
500241;506583;2;1
503720;529320;2;1
503886;503711;1;1
503720;529494;2;1
503711;503975;1;1
503720;529389;1;1
503991;500011;1;17
504068;503932;1;3
504092;503452;1;2
504165;508217;1;1
504068;500011;1;2
504190;504068;2;1
504998;542954;2;2
504998;529460;2;15
504998;505722;1;4
504998;513610;1;1
500739;511129;1;1
503932;529320;1;6
500739;503886;1;8
500739;999999;1;5
503991;529401;2;2
503991;526355;1;1
504068;500968;2;1
500739;545589;2;1
503932;508217;2;1
542717;529494;1;1
556149;999999;2;9
505048;504998;1;230
542971;504998;1;130
556157;580457;1;29
556157;556157;2;15
542971;580899;2;2
542971;580899;1;3
543071;505820;2;2
556149;507032;2;1
542954;529460;2;1
556157;507288;1;1
556157;556149;1;1
543110;542954;2;1
556149;545635;1;2
556165;505234;1;1
543063;545635;1;10
556149;513881;2;2
