obecA;obecB;Periodicita dochadzky;POCET
510998;502031;2;1
511064;506656;2;1
511030;509884;2;1
523844;523925;2;7
523542;526487;1;1
523542;529311;1;1
523879;523542;1;1
510823;506745;1;1
511005;518051;1;1
510785;508217;2;1
510548;511102;1;3
510815;509922;1;1
510815;529401;1;1
507300;509540;2;1
510670;500968;2;1
510301;510777;1;1
510815;510726;1;5
510441;509957;2;1
510866;517402;2;1
511005;517402;2;2
510815;510572;1;1
511005;519006;2;1
507300;508063;2;1
510548;509876;1;1
510599;508560;2;1
511005;510637;2;1
510530;510599;1;1
511030;508438;2;1
510998;510530;1;1
510548;517402;1;1
524026;528595;1;1
511030;508438;1;1
523950;598186;1;1
524131;506745;1;2
523852;523721;2;2
511005;510807;2;1
510599;524140;2;1
510998;507032;2;2
524018;523925;1;4
524026;529346;2;1
523381;518387;1;1
523488;510262;1;1
523658;520004;1;1
510807;517551;1;1
510629;555754;2;1
524034;523852;1;9
523925;518034;1;1
523402;560103;2;8
524093;511731;1;1
511056;510262;2;1
523593;999999;2;6
523496;523933;1;1
523542;529320;1;2
524018;528595;1;2
523381;529371;2;2
523852;523593;1;2
523631;508314;1;1
510599;514462;1;1
523925;529311;1;4
523925;529320;2;5
523518;526355;1;4
560103;510726;1;2
523518;523933;1;1
523925;527688;1;2
523933;508101;1;1
523852;508195;1;1
523925;508438;2;1
523925;529354;2;1
523879;523852;1;1
523763;529311;2;1
523925;529311;2;1
523518;528099;1;1
523763;580368;1;1
523925;528099;1;1
523445;524107;1;1
523763;500011;2;1
523381;523810;1;1
523933;504009;2;1
523844;523518;1;1
560103;508063;1;1
523721;559890;1;1
523381;543624;1;2
523381;521671;1;1
559890;523496;1;1
523445;512036;1;1
523933;510904;1;1
523950;524107;1;1
524018;523844;1;1
523747;524018;2;1
523437;526665;1;1
524093;527688;2;1
509205;517551;1;4
518158;518808;1;315
509442;000000;1;110
518158;528595;2;34
509256;500011;1;6
500372;500011;1;293
501140;000000;1;469
