"","obecA","obecB","pocet","okresA","okresB","obecA_nazov","obecB_nazov"
"178","510408","510424",2,"SK0315","SK0315","Dúbrava","Gôtovany"
"179","510408","510572",2,"SK0315","SK0315","Dúbrava","Kvaèany"
"180","510408","510696",1,"SK0315","SK0315","Dúbrava","Liptovské K¾aèany"
"181","510408","510726",14,"SK0315","SK0315","Dúbrava","Liptovský Hrádok"
"182","510408","510734",2,"SK0315","SK0315","Dúbrava","Liptovský Ján"
"183","510408","510742",1,"SK0315","SK0318","Dúbrava","Liptovský Michal"
"184","510408","510793",8,"SK0315","SK0315","Dúbrava","¼ube¾a"
"185","510408","510815",1,"SK0315","SK0318","Dúbrava","Lúèky"
"186","510408","510904",5,"SK0315","SK0315","Dúbrava","Partizánska ¼upèa"
"187","510408","510998",17,"SK0315","SK0318","Dúbrava","Ružomberok"
"188","510408","511048",10,"SK0315","SK0315","Dúbrava","Svätý Kríž"
"189","510408","511056",2,"SK0315","SK0318","Dúbrava","Štiavnièka"
"190","510408","511099",1,"SK0315","SK0315","Dúbrava","Uhorská Ves"
"191","510408","511153",13,"SK0315","SK0315","Dúbrava","Vlachy"
"192","510408","511196",10,"SK0315","SK0315","Dúbrava","Závažná Poruba"
"193","510408","558281",2,"SK0315","SK0315","Dúbrava","Liptovská Porúbka"
"194","510416","510262",59,"SK0315","SK0315","Galovany","Liptovský Mikuláš"
"195","510416","510386",3,"SK0315","SK0315","Galovany","Demänovská Dolina"
"196","510416","510416",2,"SK0315","SK0315","Galovany","Galovany"
"197","510416","510505",1,"SK0315","SK0315","Galovany","Jakubovany"
"198","510416","510572",1,"SK0315","SK0315","Galovany","Kvaèany"
"199","510416","510726",3,"SK0315","SK0315","Galovany","Liptovský Hrádok"
"200","510416","510734",1,"SK0315","SK0315","Galovany","Liptovský Ján"
"201","510416","510793",1,"SK0315","SK0315","Galovany","¼ube¾a"
"202","510416","510998",2,"SK0315","SK0318","Galovany","Ružomberok"
